Iso,SignedP,,,,,,
AIPGENE21541,-0.332230187,,,,,,
AIPGENE6330,-1.731438074,,,,,,
AIPGENE5632,-1.528187725,,,,,,
AIPGENE7705,-1.284785936,,,,,,
AIPGENE27580,-1.554408025,,,,,,
AIPGENE22300,-0.415238224,,,,,,
AIPGENE6478,-0.953488236,,,,,,
AIPGENE27448,-0.394068263,,,,,,
AIPGENE17194,-1.209452949,,,,,,
AIPGENE19693,-2.586545152,,,,,,
AIPGENE28912,-1.373962259,,,,,,
AIPGENE14559,-1.713192172,,,,,,
AIPGENE12254,-1.382404553,,,,,,
AIPGENE6708,-6,,,,,,
AIPGENE25717,-2.729320164,,,,,,
AIPGENE14046,-6,,,,,,
AIPGENE16894,-1.093286277,,,,,,
AIPGENE5142,-0.870344034,,,,,,
AIPGENE19572,-1.366682335,,,,,,
AIPGENE10609,-0.574272474,,,,,,
AIPGENE20784,-0.06832438,,,,,,
AIPGENE13505,-0.612744244,,,,,,
AIPGENE9574,-3.068680686,,,,,,
AIPGENE17534,-0.637693359,,,,,,
AIPGENE8301,-2.984791188,,,,,,
AIPGENE4282,-1.254371792,,,,,,
AIPGENE28221,-2.436393917,,,,,,
AIPGENE16289,-0.982057947,,,,,,
AIPGENE7719,-2.685664614,,,,,,
AIPGENE18839,-0.717211463,,,,,,
AIPGENE17940,-2.7207683,,,,,,
AIPGENE7765,-2.047760767,,,,,,
AIPGENE19516,-0.636255675,,,,,,
AIPGENE19114,-1.649408275,,,,,,
AIPGENE2734,-3.052999065,,,,,,
AIPGENE9129,-0.422794817,,,,,,
AIPGENE8835,-1.051401683,,,,,,
AIPGENE10272,-0.460616596,,,,,,
AIPGENE15430,-6,,,,,,
AIPGENE24116,-0.997163331,,,,,,
AIPGENE2120,-3.078256026,,,,,,
AIPGENE5585,-0.882268777,,,,,,
AIPGENE8477,-0.852782794,,,,,,
AIPGENE16373,-0.416709651,,,,,,
AIPGENE3691,-2.074453068,,,,,,
AIPGENE24793,-2.232999659,,,,,,
